close,high,low,open,timestamp,volume
0.00052255,0.0005478,0.00051284,0.00053964,2019-12-31T00:00:00Z,857782
0.00054251,0.00056459,0.00052292,0.00054276,2019-12-30T00:00:00Z,911796
0.00054683,0.00058909,0.00052931,0.00057926,2019-12-29T00:00:00Z,852888
0.00057461,0.00058479,0.00054641,0.00056,2019-12-28T00:00:00Z,873205
0.00055724,0.00056589,0.00051691,0.00054188,2019-12-27T00:00:00Z,778413
0.00054301,0.00060749,0.00053309,0.00059923,2019-12-26T00:00:00Z,847995
0.00059788,0.00061591,0.00058242,0.00059289,2019-12-25T00:00:00Z,962840
0.00059757,0.00062116,0.0005677,0.00058345,2019-12-24T00:00:00Z,975155
0.00058515,0.00061154,0.00053651,0.00055624,2019-12-23T00:00:00Z,958266
0.00056009,0.00057558,0.00053018,0.00053326,2019-12-22T00:00:00Z,844413
0.00052086,0.00055468,0.00050601,0.00052436,2019-12-21T00:00:00Z,747978
0.00052427,0.00055146,0.00047551,0.00047934,2019-12-20T00:00:00Z,786122
0.00047788,0.00050177,0.00045723,0.00049663,2019-12-19T00:00:00Z,679327
0.00049823,0.00051396,0.00044246,0.00045529,2019-12-18T00:00:00Z,1064011
0.00043485,0.00046807,0.00042508,0.00046237,2019-12-17T00:00:00Z,712726
0.00047226,0.00051244,0.00045869,0.00050944,2019-12-16T00:00:00Z,732449
0.00052062,0.00053698,0.00048867,0.0005102,2019-12-15T00:00:00Z,729428
0.00050785,0.00055414,0.0005004,0.00053981,2019-12-14T00:00:00Z,652368
0.00054891,0.00061654,0.00045333,0.00057886,2019-12-13T00:00:00Z,810815
0.00057541,0.00058369,0.00053409,0.00056534,2019-12-12T00:00:00Z,796918
0.00056462,0.00059193,0.00056042,0.00057226,2019-12-11T00:00:00Z,797608
0.00058093,0.00064124,0.00055193,0.00063571,2019-12-10T00:00:00Z,869693
0.00064271,0.00068231,0.00063534,0.00066436,2019-12-09T00:00:00Z,989916
0.00066662,0.00067674,0.00062631,0.000647,2019-12-08T00:00:00Z,902321
0.00064517,0.00068602,0.00063088,0.00065181,2019-12-07T00:00:00Z,849133
0.00065265,0.00066872,0.00062977,0.00066164,2019-12-06T00:00:00Z,970739
0.0006545,0.00068641,0.00063783,0.00066496,2019-12-05T00:00:00Z,853224
0.00065877,0.00071401,0.00063727,0.00067858,2019-12-04T00:00:00Z,980366
0.00067965,0.0007161,0.00065703,0.00069369,2019-12-03T00:00:00Z,958403
0.00069312,0.00074271,0.00064965,0.00067655,2019-12-02T00:00:00Z,1086351
0.00067746,0.00069177,0.00058302,0.0006035,2019-12-01T00:00:00Z,892648
0.00060984,0.00065759,0.00059924,0.00065356,2019-11-30T00:00:00Z,733699
0.00066369,0.00068305,0.00064182,0.00066593,2019-11-29T00:00:00Z,904894
0.00065278,0.00067681,0.00063897,0.00066754,2019-11-28T00:00:00Z,953015
0.00067255,0.00069758,0.00061884,0.00065498,2019-11-27T00:00:00Z,1020930
0.00064107,0.00065426,0.00057213,0.00058698,2019-11-26T00:00:00Z,954526
0.00058285,0.00059775,0.00050058,0.00052751,2019-11-25T00:00:00Z,911351
0.00052165,0.00060764,0.00051644,0.00056529,2019-11-24T00:00:00Z,714550
0.00058367,0.00060966,0.00049413,0.0005062,2019-11-23T00:00:00Z,877850
0.00050448,0.00057493,0.00046594,0.00056262,2019-11-22T00:00:00Z,771444
0.00057914,0.00061278,0.0005512,0.00058885,2019-11-21T00:00:00Z,831244
0.00060828,0.00065845,0.00059056,0.00065493,2019-11-20T00:00:00Z,964795
0.00065721,0.00069309,0.00063173,0.00066754,2019-11-19T00:00:00Z,1242193
0.00067117,0.00072137,0.00063431,0.00069113,2019-11-18T00:00:00Z,1178336
0.0007058,0.00073616,0.00066447,0.00070764,2019-11-17T00:00:00Z,1326982
0.00070848,0.00078299,0.00069688,0.00077498,2019-11-16T00:00:00Z,1091057
0.00077468,0.00084472,0.00066228,0.00074439,2019-11-15T00:00:00Z,1287594
0.00074944,0.00077755,0.0006245,0.00066215,2019-11-14T00:00:00Z,1320323
0.00066704,0.00068332,0.00059112,0.00060204,2019-11-13T00:00:00Z,1077877
0.00060494,0.00063775,0.00053053,0.0005434,2019-11-12T00:00:00Z,1126871
0.00053815,0.00057059,0.00047443,0.00055691,2019-11-11T00:00:00Z,965565
0.00057491,0.00057696,0.00044045,0.00045001,2019-11-10T00:00:00Z,904557
0.00044823,0.00047475,0.00042866,0.00045641,2019-11-09T00:00:00Z,711769
0.00045596,0.00052788,0.00043969,0.0004801,2019-11-08T00:00:00Z,694597
0.0004579,0.000483,0.00042701,0.00044096,2019-11-07T00:00:00Z,741990
